,INCI,SMILES
75,Diethylhexyl Sodium Sulfosuccinate,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
76,Gluconic Acid,C(C(C(C(C(C(=O)O)O)O)O)O)O
77,Hydrofluorocarbon 227ea,C(C(F)(F)F)(C(F)(F)F)F
78,Portulaca Oleracea Extract,
79,PEG-30 Dipolyhydroxystearate,
80,Cyclomethicone,
81,Cymbopogon Flexuosus Oil,
82,Silybum Marianum Extract,
83,s-DNA Aptamer-4,
84,Methicone,C[Si]1CCCCO1
85,Citrate Buffer,
86,Laurocapram,CCCCCCCCCCCCN1CCCCCC1=O
87,Fragaria Vesca (Strawberry) Fruit Extract,
88,C11-15 Alketh-7 (Formerly C11-15 Pareth-7),
89,Acetic Acid,CC(=O)O
90,Acid Blue 9 Aluminum Lake,
91,Bis-Glyoxyloyl Cystine,
92,Butyl Acetate,CCCCOC(=O)C
93,Glass,
94,Agrimonia Eupatoria Extract,
95,Bassia Butyracea Seed Butter,
96,Sodium Lauroyl Sarcosinate,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
97,Bifida Ferment Lysate,
98,Borneol,"CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C
CC1(C2CCC1(C(C2)O)C)C"
99,Pisum Sativum (Pea) Extract,
100,Humulus Lupulus (Hops) Extract,
101,Brassica Campestris (Rapeseed) Sterols,
102,Polyisobutene,
103,Cordyceps Sinensis Extract,
104,Pfaffia Glomerata Root Juice,
105,Cocamidopropyl PG-Dimonium Chloride Phosphate,CCCCCC=CCC=CCCCCCCCC(=O)NCCC[N+](C)(C)CC(COP(=O)(OCC(C[N+](C)(C)CCCNC(=O)CCCCCCCC=CCC=CCCCCC)O)OCC(C[N+](C)(C)CCCNC(=O)CCCCCCCC=CCC=CCCCCC)O)O.[Cl-].[Cl-].[Cl-]
106,Rhodiola Rosea Root Extract,
107,Ceramide NP,CCCCCCCCCCCCCCC(C(C(CO)NC(=O)CCCCCCCC=CCCCCCCCC)O)O
108,Polyphenylsilsesquioxane,
109,PEG-2 Stearate,CCCCCCCCCCCCCCCCCC(=O)OCCOCCO
110,Glycolipids,CCCCCCCCCCCCCC=CC(C(COP(=O)(O)OCC[N+](C)(C)C)NC=O)O
111,Hydrangea Serrata Leaf Extract,
112,Oryza Sativa (Rice) Extract,
113,Camellia Sinensis Leaf Extract,
114,Prunus Amygdalus Dulcis (Sweet Almond) Shell Powder,
115,Polyhydroxystearic Acid,
116,Benzotriazolyl Dodecyl p-Cresol,CCCCCCCCCCCCC1=C(C(=CC(=C1)C)N2N=C3C=CC=CC3=N2)O
117,Paullinia Cupana Seed Extract,
118,Albizia Julibrissin Bark Extract,
119,Perilla Ocymoides Leaf Extract,
120,Trideceth-7,
121,Myristamidopropyl PG-Dimonium Chloride Phosphate,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(COP(=O)(OCC(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC)O)OCC(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC)O)O.[Cl-].[Cl-].[Cl-]
122,PEG-10 Sunflower Glycerides,
123,Methyl Ricinoleate,CCCCCCC(CC=CCCCCCCCC(=O)OC)O
124,Althaea Officinalis Root Extract,
125,PEG-12 Dimethicone,
126,Myrica Cerifera (Bayberry) Bark Extract,
127,Paeonia Lactiflora Root Extract,
128,PEG-7 Olive Glycerides,
129,Polyvinyl Alcohol,
130,Astrocaryum Murumuru Fruit Extract,
131,Hordeum Vulgare Seed Flour,
132,Glucosyl Hesperidin,
